date,location,lat,lng
"Jul 7, 2022","Patchogue, NY",40.7659783,-73.01934299999999
"Jul 9, 2022","Toronto, ON",43.653226,-79.3831843
"Jul 10, 2022","Montreal, QC",45.5016889,-73.567256
"Jul 28, 2022
            -
            Jul 31, 2022","Chicago, IL",41.8781136,-87.6297982
"Jul 29, 2022","Chicago, IL",41.8781136,-87.6297982
"Aug 20, 2022","Quincy, MA",42.2528772,-71.0022705
"Aug 27, 2022","St Paul, MN",44.9537029,-93.0899578
"Sep 15, 2022","Manchester, UK",53.4807593,-2.2426305
"Sep 16, 2022","London, United Kingdom",51.5072178,-0.1275862
"Sep 22, 2022
            -
            Sep 25, 2022","Dover, DE",39.158168,-75.5243682
"Sep 24, 2022","Birmingham, AL",33.5185892,-86.8103567
"Sep 30, 2022","Ventura, CA",34.2804923,-119.2945199
"Oct 1, 2022","Dana Point, CA",33.4672256,-117.6981014
"Oct 2, 2022","Tucson, AZ",32.2539787,-110.9741769
"Oct 4, 2022","Albuquerque, NM",35.0843859,-106.650422
"Oct 5, 2022","Denver, CO",39.7392358,-104.990251
"Oct 7, 2022
            -
            Oct 9, 2022","Austin, TX",30.267153,-97.7430608
"Oct 22, 2022","Las Vegas, NV",36.171563,-115.1391009
"Oct 23, 2022","Las Vegas, NV",36.171563,-115.1391009
"Oct 29, 2022","Las Vegas, NV",36.171563,-115.1391009
